chr	start	end
chr11	35641151	35641510
chr12	92801851	92802260
chr2	191895201	191895710
chr11	100850951	100851260
chr3	1653601	1653860
chr18	7221351	7221860
chr1	2246351	2247060
chr6	138322851	138323310
chr3	108994551	108994910
chr13	29292851	29293060
chr7	83824301	83824410
chr8	145048701	145049510
chr6	36853251	36853810
chr10	66190501	66190860
chr11	16635151	16635610
chr10	71548801	71549260
chr3	45698251	45698710
chr6	42515201	42515810
chr6	170826051	170826510
chr3	17349001	17349310
chr16	76888251	76888410
chr12	81651751	81652160
chr3	5112951	5113160
chr6	30187001	30187210
chr6	6547201	6547760
chr19	36001101	36001710
chr10	127210651	127211160
chr4	75799951	75800410
chr1	227353351	227353660
chr4	63274251	63274510
chr19	6738351	6739010
chr13	110436801	110437460
chr3	114245851	114246310
chr11	104204801	104204960
chr1	236958251	236958860
chr3	79027151	79027610
chr16	46891501	46891810
chr17	3637601	3637910
chr15	91685351	91685760
chr2	9695651	9696060
chr4	2089001	2089210
chr20	3096051	3096560
chr5	11182801	11183210
chr17	75062801	75063260
chr11	67118601	67119110
chr17	25680751	25681260
chr6	157100301	157100610
chr14	76027251	76027760
chr2	91762901	91763060
chr2	196440751	196441160
chr22	30097301	30097560
chr17	37021101	37021460
chr17	36736101	36736510
chrX	95627701	95628160
chr8	42029051	42029560
chr1	224644501	224646010
chr12	104227801	104227910
chr6	157735601	157736210
chr9	37210001	37210260
chr22	24899051	24899510
chr5	33423101	33423560
chr18	6886201	6886610
chr2	98313701	98314160
chr6	144425951	144426460
chr5	180644501	180644910
chr1	47639451	47639910
chr12	16318351	16318810
chr6	26250401	26250710
chr2	159852901	159853260
chr4	127525401	127525810
chrX	13709001	13709360
chr6	143748301	143748760
chr12	50339251	50339760
chr10	24270951	24271110
chr3	118536501	118536960
chr13	21517601	21518110
chr5	135165551	135166310
chr20	18568401	18569010
chr1	202625251	202625560
chr7	7370751	7370910
chr3	40547201	40547510
chr19	40741651	40741810
chr19	52168301	52168660
chr4	3138251	3138510
chr17	3640901	3641410
chr17	53082901	53083260
chr21	40890151	40890710
chr2	130154751	130155160
chr10	129976601	129977010
chrX	81213351	81213710
chr1	61324151	61324160
chr17	16894701	16895160
chr9	20624751	20625160
chrX	149811801	149812110
chr14	35908001	35908410
chr8	41998001	41998610
chr12	8012501	8012960
chr12	101320451	101320810
chr9	110001801	110002110
chr20	15883201	15883560
chr12	32908951	32909560
chr12	129309151	129309460
chr17	28258251	28258810
chr12	14922501	14923210
chr7	77763651	77763960
chr3	70113301	70113760
chr9	135383001	135383510
chr18	6733001	6733260
chr2	242892901	242893410
chr16	2066501	2066860
chr2	75874901	75875110
chr2	182295151	182295560
chr18	72020401	72020810
chr6	3825651	3826110
chr12	72293901	72294260
chr2	91803501	91804160
chr2	73162101	73162460
chr3	160404751	160405160
chr8	12698151	12698610
chr16	3146001	3146210
chr3	50294401	50294860
chr6	80803701	80804160
chr15	66990651	66991160
chr8	86084101	86084310
chr17	41535551	41535760
chr9	72728301	72728810
chr1	36626701	36627060
chr1	212874401	212874710
chr4	155903551	155904060
chr16	68626401	68626760
chr19	12948951	12949460
chr5	179049651	179050510
chr7	82110801	82111210
chr7	128509351	128509860
chr12	128553951	128554310
chr2	174827951	174828410
chr2	216814651	216815110
chr11	111957301	111957510
chr17	30788701	30789710
chr2	196931501	196931960
chr14	21323801	21324260
chr10	63594851	63595310
chr1	232346851	232347310
chr2	42740351	42740810
chr10	117332551	117333010
chr17	47304701	47305260
chr3	25873101	25873310
chr9	91147351	91147660
chr14	64011401	64011760
chr17	72280851	72281160
chr4	39437551	39437810
chr16	50711351	50711760
chr18	9549551	9549660
chr1	161695701	161696860
chr8	48649251	48649610
chr16	89423401	89423660
chr20	61538701	61539160
chr3	183100151	183100610
chr17	35850051	35850510
chr5	179265051	179265410
chr3	93968301	93968810
chr16	68554351	68555060
chr1	234250151	234250960
chr8	69344801	69345110
chr21	31713251	31713710
chr3	150505551	150505960
chr19	38393201	38393660
chr1	6614151	6614910
chr2	220324001	220324510
chr4	10065301	10065760
chr4	187394001	187394460
chr10	21367551	21368010
chr15	101555251	101555860
chr9	37904051	37904660
chr9	35071901	35072460
chr16	65160851	65161060
chr6	99293601	99294060
chr13	20501251	20501710
chr13	103568301	103568760
chr14	89643751	89644160
chr1	109102401	109102910
chr1	158853251	158853510
chr12	77272151	77272410
chr7	1209501	1209910
chr12	58197001	58197510
chr15	86159251	86159610
chr4	3347701	3348210
chr20	44002451	44002960
chr2	53183951	53184260
chr14	106465551	106466160
chr11	114310051	114310310
chr4	95254201	95254410
chr20	9947601	9948060
chr5	103748551	103749010
chr15	76349751	76350210
chr14	53752551	53752810
chr13	31773751	31775010
chr5	149509251	149510010
chr22	25506801	25507660
chr9	138392101	138392760
chr11	35755451	35755660
chr1	26743451	26743960
chr2	207028951	207029410
chr5	128178001	128178310
chr5	52285701	52286010
chr21	30243901	30244010
chr2	186473551	186473860
chr16	23084451	23084860
chr12	54613851	54614360
chr2	113693751	113693960
chr21	38299851	38300360
chr9	126889001	126889510
chr6	154135351	154135610
chr14	56172551	56172810
chrX	14546751	14547160
chr1	234749351	234749560
chrX	154314701	154315160
chr10	51566801	51567260
chr4	101828601	101828960
chr7	86866051	86866610
chr22	37252251	37252960
chr9	114613901	114614110
chr2	9511551	9511860
chr10	13451601	13451810
chr2	236671601	236671810
chr3	4356351	4356760
chr1	95507101	95507560
chr17	73597251	73597710
chr16	85309101	85309710
chr8	13516751	13517210
chr16	31454301	31454760
chr1	217736501	217736860
chr15	27134501	27134810
chr2	114147801	114148360
chr17	28348701	28349160
chr7	22149351	22150360
chr19	27738351	27738560
chr17	65821251	65821760
chr17	62598551	62598910
chr6	167411251	167411660
chr4	169104801	169105260
chr16	85336851	85337310
chr1	49154101	49154410
chr5	94073551	94074060
chr14	81630401	81630860
chr13	113260551	113261210
chr4	171988651	171988760
chr6	12894051	12894560
chr11	32508851	32509210
chr9	23492151	23492510
chr8	97787901	97788260
chr9	126162051	126162460
chr3	183735051	183735660
chr4	109559101	109559260
chr16	85562501	85562910
chr9	89561401	89561710
chr8	53396501	53396910
chr4	89273351	89273560
chr7	36167901	36168560
chr15	46007751	46008110
chr12	60174551	60174910
chr5	140729451	140729760
chr5	18305401	18305860
chr4	155337301	155337660
chr6	3732701	3733210
chr19	10975051	10975510
chr9	36450051	36450560
chr4	123573501	123573910
chr3	174579901	174580210
chr1	160588601	160588960
chr22	18429251	18429460
chr8	26527901	26528510
chr5	56480301	56480610
chr1	120387001	120387110
chr11	56608651	56609160
chr7	31023151	31023610
chr3	156922151	156922560
chr11	124538951	124539460
chr9	139441401	139441610
chr5	83384851	83385110
chr8	22553101	22553560
chr3	128145101	128145610
chr9	95396901	95397460
chr17	55824851	55825310
chr1	90088501	90088710
chr11	120302401	120302660
chr6	136610301	136610510
chr20	49263001	49263260
chr22	36519951	36520460
chr6	45898101	45898610
chr15	63414451	63414760
chr11	72064951	72065260
chr1	236083401	236083860
chr13	93769151	93769410
chr8	97325451	97325610
chr3	79566951	79567360
chr20	3034451	3034860
chr6	16184301	16184710
chr6	37175651	37176210
chrX	135354651	135354760
chr7	92684901	92685360
chr16	66540751	66541010
chr11	12820301	12820560
chr11	82575201	82575660
chr9	109046701	109046810
chr5	125930851	125931360
chr22	21457001	21457560
chr10	45730601	45731010
chr7	42776601	42776860
chr1	23991701	23992060
chr2	102918351	102918710
chr6	119121551	119122110
chr6	2354101	2354560
chr4	44427601	44428060
chr1	222065201	222065910
chr22	22549651	22550160
chr11	115040901	115041410
chr8	28269301	28269910
chr19	51614951	51615110
chr20	7094451	7094960
chr4	88140751	88141410
chr12	45941751	45941860
chr12	129266801	129267210
chr9	82093401	82093710
chr3	195283251	195283560
chr10	57260701	57261110
chr1	17278151	17278560
chr15	81692951	81693410
chr3	125917051	125917460
chr14	104690801	104691060
chr2	179059001	179059560
chr22	25963351	25963460
chr2	238480551	238481110
chr14	27453751	27454160
chr14	50529301	50529510
chr9	9942751	9943260
chr4	174209501	174209860
chr1	25444001	25444260
chr7	23610201	23610610
chr22	30819701	30819860
chr1	176918101	176918660
chr6	123051851	123052360
chr19	27735051	27735410
chr10	122702301	122702760
chr5	104136201	104136510
chr18	19191951	19192460
chr3	128722601	128723010
chr1	222461451	222461760
chr2	218933451	218933910
chr11	62328001	62328460
chr8	101847501	101848310
chr9	123631401	123631710
chr6	107004251	107004610
chr3	176532151	176532410
chr21	35274051	35274410
chr5	111940751	111940960
chr14	90314651	90314810
chr4	47688301	47688710
chr9	114659401	114659560
chr20	49411051	49411810
chr3	194827101	194827560
chr2	182757001	182757360
chr2	204793551	204793960
chr2	16001001	16001160
chr6	70478601	70478910
chr18	34200851	34201060
chr1	186241751	186242010
chr9	6049801	6050110
chr21	35267051	35267460
chr11	59634001	59634060
chr8	124474951	124475510
chr1	144925401	144925410
chr2	120460301	120460860
chr1	93088801	93089160
chrX	49684251	49684710
chr13	92598751	92599110
chr3	170767601	170768010
chr19	11646751	11647310
chr13	42242251	42242710
chr2	46052151	46052510
chr6	38538551	38538910
chr9	107850951	107851060
chr8	136469201	136469610
chrX	133915051	133915210
chr2	232579751	232580410
chr7	33148751	33149410
chr8	128906901	128907260
chr19	3761551	3762010
chr11	94822951	94823710
chr2	110914701	110915160
chr2	123126251	123126510
chr18	35117751	35118260
chr9	133816401	133816910
chr6	126112701	126113160
chr22	43555801	43556110
chr1	28574851	28575460
chr6	118116501	118116660
chr14	86502251	86502610
chr2	219137251	219137810
chr8	88707401	88707860
chr13	50181151	50181610
chr1	213168701	213169310
chr3	136751251	136751660
chr12	48294251	48294710
chr19	35633751	35634310
chr7	100302801	100303460
chr1	203662201	203662610
chr12	84791101	84791410
chr3	58615751	58616310
chr6	99287701	99287960
chr13	45992601	45992860
chr4	99849901	99850210
chr22	24921351	24921860
chr14	74213251	74213310
chr13	52575201	52575660
chr10	112113651	112114510
chr1	243457851	243457860
chr10	17649451	17649960
chr22	17398201	17398710
chr9	137340901	137341810
chr1	152939651	152939860
chr12	120703551	120704010
chr15	33571201	33571360
chr2	220386001	220386410
chr5	137673401	137674060
chr10	105787901	105788260
chr10	126749601	126750110
chrX	94356201	94356510
chr1	144005351	144005810
chr12	19892101	19892610
chr10	124463301	124463760
chr13	25254451	25254660
chr4	27704701	27705060
chr11	78774201	78774710
chr7	155198151	155198410
chr11	64038951	64039210
chr7	12443151	12443360
chr14	103821101	103821510
chr18	11040801	11041260
chr19	11493401	11493810
chr5	96143601	96143860
chr20	49547951	49548510
chr4	155608001	155608360
chr12	53846301	53846810
chr3	197476501	197476810
chr7	16138151	16138660
chr9	138495651	138496160
chr7	5179651	5180010
chr2	107213301	107213660
chr14	95993651	95994160
chr12	56660401	56660910
chr7	151323501	151323910
chr11	61975451	61975910
chr4	156730951	156731310
chr3	51853751	51854060
chr2	158449551	158449860
chr3	27930151	27930360
chr14	35450601	35451360
chr13	52019101	52019410
chr20	2962901	2963210
chr19	5523101	5523510
chr7	119912201	119912660
chr19	49577201	49577560
chr16	52005051	52005460
chr9	111861001	111861310
chr17	36823701	36824210
chr8	6673701	6674160
chr15	67145651	67146110
chr17	67354901	67355210
chr12	56389851	56390410
chr2	207648451	207648860
chr12	48109051	48109560
chr2	231766801	231767260
chr6	77731101	77731160
chr7	64772601	64773160
chr14	24777201	24777810
chr1	152024801	152025510
chr16	19400451	19400910
chr7	36621951	36622110
chr6	151727101	151727560
chr12	40730351	40730760
chr8	123360251	123360660
chr1	210000851	210001710
chr1	217506151	217506310
chr11	65756351	65757060
chr1	89202301	89202710
chr14	105151651	105151810
chr11	65361151	65361660
chr2	46005651	46006260
chr1	26324551	26325060
chr13	50550701	50551210
chr1	117636601	117636960
chr14	69378201	69378810
chr6	74442751	74443210
chr15	29407251	29407560
chr17	57297651	57298160
chr6	28367401	28367760
chr19	39034951	39035410
chr12	42726051	42726510
chr5	86720651	86721010
chr7	29153451	29153810
chr16	48896001	48896210
chr1	225566651	225566960
chr1	97651951	97652210
chr11	116706651	116707110
chr11	126355501	126355660
chr9	92208701	92209160
chr1	202299101	202299460
chr1	211291801	211292110
chr16	48715551	48715710
chr7	120747901	120748410
chr20	42473351	42473710
chr5	150785701	150786310
chrX	131353301	131353760
chr2	192403751	192404210
chr11	44116951	44117510
chr12	1227101	1227610
chr1	62416001	62416460
chr15	65197701	65198110
chrX	51546501	51546810
chr15	72604951	72605360
chr6	11585601	11586060
chr1	225840551	225841110
chr12	104571351	104571760
chr3	8810901	8811560
chr20	4207651	4208060
chr5	132446701	132447360
chr6	119431901	119432310
chr11	81208251	81208710
chr21	18884751	18885310
chr13	28194201	28194560
chr9	111524001	111524510
chr9	36555751	36556210
chr11	11169601	11169860
chr1	246862301	246862960
chr12	9860701	9861210
chr20	48158201	48158760
chr4	49659451	49659760
chr1	225630901	225631160
chr11	1727851	1728160
chr12	55582751	55583160
chr8	70744551	70744960
chr1	12374401	12374760
chr17	78944201	78944610
chr11	44948501	44949160
chr7	135195701	135195910
chr3	23802901	23803310
chr15	100044951	100045310
chr7	128045051	128045260
chr3	76802851	76803060
chr5	102591951	102592160
chr6	82967201	82967360
chr15	48799601	48800110
chrX	153536601	153537110
chr1	71150951	71151410
chr3	136732651	136733160
chr17	72855851	72856310
chr7	33847351	33847760
chr1	234052401	234052660
chr8	95514951	95515310
chr1	54788851	54789260
chr15	75080151	75080460
chr10	98503801	98504110
chr19	36040001	36040510
chr5	127244701	127245260
chr15	67358051	67358460
chr22	35979051	35979660
chr3	155588251	155588560
chr16	74343651	74344110
chr10	113616451	113616760
chr19	46785651	46785960
chr7	151456551	151457110
chr10	50489551	50489810
chr4	36352651	36353110
chr11	3870401	3870910
chr4	11499151	11499460
chr13	43544851	43545360
chr5	143012601	143012860
chr5	177557651	177558010
chr2	45812351	45812810
chr1	230450801	230451160
chr7	148725351	148725610
chr3	139995501	139995860
chr1	234613801	234614910
chr9	2872701	2872860
chr2	224902951	224903360
chr3	47879151	47879610
chr7	52235801	52236160
chr1	67989851	67990210
chr1	153237951	153238310
chr5	95775701	95775960
chr1	202349351	202349560
chr15	55509751	55510210
chr19	16679751	16679860
chr6	90081651	90082210
chr1	219394401	219394710
chr8	97176501	97177010
chr12	118287651	118288260
chr9	77617051	77617510
chr4	115305801	115306210
chr1	36818351	36818560
chr10	120788851	120789110
chr7	116502301	116502610
chr3	142575901	142576260
chr5	149339901	149340110
chr10	7729151	7729710
chr19	42681101	42681560
chr1	113995501	113995960
chr21	40105801	40106260
chr7	117355851	117356260
chrX	102431201	102431710
chr19	47894651	47895110
chr11	129637051	129637410
chr8	27449651	27450210
chr3	1481101	1481410
chrX	151800901	151801360
chr12	6097651	6098160
chr22	24093001	24093160
chr5	14270301	14270760
chr21	37581901	37582460
chr2	66503301	66503360
chr20	62427501	62427860
chr16	72042301	72042460
chr11	66032451	66032860
chr20	45381151	45381710
chr9	6585101	6585560
chr1	229796701	229797460
chr4	596351	596860
chr16	66642301	66642860
chr6	29621251	29621610
chr13	78167151	78167560
chr4	8430501	8430860
chr8	73123051	73123310
chr13	104041301	104041460
chr17	21307901	21308110
chr3	161571951	161572260
chr5	170819701	170819810
chr8	81524751	81525260
chr8	24272451	24272960
chr1	23854501	23854810
chr3	61880601	61880860
chr8	59720401	59720910
chr9	72844551	72844860
chr2	111891851	111892010
chr22	44278901	44279410
chr16	71571551	71571960
chr7	143824801	143825260
chr17	39480351	39480760
chr9	136607951	136608560
chr17	36130851	36131310
chr8	144129501	144130610
chr20	36950351	36950810
chr4	27002451	27002810
chr22	22457401	22457760
chr12	74806401	74806760
chr14	107250801	107251260
chr5	149207851	149208460
chr1	144992451	144993610
chr4	73567851	73568310
chr6	31514401	31514760
chr6	112693351	112693810
chr19	49521101	49521510
chr1	3400351	3400860
chr17	79215351	79215860
chrX	39011351	39011760
chr13	46292201	46292610
chr13	86402201	86402660
chr7	104284001	104284460
chr17	27507101	27507760
chr3	146044951	146045310
chr2	65938151	65938560
chr3	108769401	108769810
chr8	120992451	120992810
chr9	131182401	131183310
chr6	43111101	43111760
chr11	3144751	3145010
chr17	66016051	66016410
chr3	194353901	194354410
chr4	26237151	26237410
chr10	114975901	114976160
chr9	32526201	32526860
chr19	47799301	47799760
chr1	62601401	62601810
chr6	23637701	23637860
chr6	17584301	17585110
chr3	31489951	31490410
chr7	35946001	35946510
chr15	33287001	33287460
chr3	160060951	160061260
chr8	41278651	41279010
chr22	25198901	25199460
chr14	33057601	33058060
chr5	71699051	71699410
chr20	33463551	33463910
chr3	179468551	179468910
chr7	105328401	105328710
chr3	185071901	185072210
chr1	17732551	17733110
chr12	65515201	65515510
chr1	220391801	220392510
chr2	72997951	72998460
chr3	170529651	170530210
chr13	24794201	24794710
chr2	150169951	150170360
chr6	133120001	133120510
chr20	57607751	57608060
chr2	850101	850510
chr16	85449901	85450410
chr7	86541151	86541310
chr7	14497401	14497860
chr1	109806051	109806810
chr12	113612101	113612660
chr4	5019851	5020160
chr20	44065351	44066010
chr10	29806251	29806660
chr3	30670751	30670960
chr3	126378851	126379210
chr3	149620551	149620910
chr3	52261251	52261360
chr2	13334001	13334460
chr6	2104501	2104910
chr2	217563501	217563960
chr19	43934251	43934510
chr12	112451051	112451510
chr19	56117451	56118010
chr12	52653651	52653760
chr3	128594501	128594660
chr6	12370001	12370260
chr1	154721501	154722010
chr12	52928301	52928560
chr22	19166651	19167360
chr9	78913751	78913960
chr8	96515651	96516010
chr11	126177651	126177960
chr7	56072501	56072910
chr3	191106651	191106960
chr6	16183301	16183810
chr1	48169901	48170310
chr2	33620701	33621110
chrX	78142101	78142410
chr3	175658751	175659060
chr8	102268051	102268360
chrX	24694501	24694960
chr6	36328251	36328760
chr19	41945751	41946160
chr7	152099651	152100260
chr20	48531801	48532010
chr3	171178601	171178860
chr1	65888051	65888260
chr4	186518701	186519210
chr12	13288651	13289010
chr14	99786351	99786810
chr20	3098501	3098960
chr3	133142351	133142810
chr2	187506351	187506860
chr7	111495251	111495760
chr7	149119351	149119860
chr2	241377601	241378160
chr7	123220851	123221310
chr2	222833801	222834260
chr1	223296801	223297660
chr8	109568101	109568360
chr3	190583651	190584010
chr16	81479001	81479410
chr1	58501301	58501460
chr10	129514051	129514410
chr6	28984501	28985260
chr8	102313451	102314160
chr4	155473201	155473710
chr2	42313551	42314010
chr9	17531601	17532110
chr3	167883401	167883860
chr5	149893051	149893360
chr1	102033051	102033560
chr3	171547701	171548160
chr13	63621701	63621860
chr11	111802451	111802910
chr8	145743601	145743810
chr22	28387001	28387310
chr7	151065101	151065660
chr6	157760551	157760760
chr18	49147451	49147960
chr2	199174351	199174810
chr6	96916901	96917110
chr17	4613151	4613610
chr16	24528251	24528760
chr8	104992751	104993210
chr10	102648751	102649110
chr22	47199101	47199810
chr5	80007751	80008160
chr20	3154451	3154710
chr9	127120451	127120660
chr1	70500151	70500460
chr2	120144951	120145210
chr19	33616701	33617210
chr20	48000901	48001960
chr14	42693351	42693910
chr10	81982451	81982660
chr5	141071501	141072160
chr12	56513101	56513510
chr18	29523351	29523510
chr11	128500201	128500710
chr8	29908501	29909010
chr4	129209201	129209660
chr3	178786651	178787310
chr12	102092551	102092760
chrX	43609601	43610060
chr22	31286551	31287060
chr2	96932051	96932410
chrX	152909451	152909810
chr8	542101	542260
chr13	31810251	31810760
chr12	118109401	118109860
chr22	25444651	25445060
chr19	40476601	40477060
chr3	43784451	43784710
chr16	30961501	30961710
chr12	108003901	108004510
chr17	74553451	74553860
chr7	34799151	34799560
chr6	89490451	89490960
chr3	126715051	126715210
chr6	111531451	111531910
chr16	66958801	66959010
chr3	65658501	65658960
chrX	7109701	7110260
chr6	30421351	30421760
chr1	76796651	76797110
chr5	66053051	66053460
chrX	152917201	152917560
chr17	5185101	5185310
chr1	203584451	203584610
chr3	53702901	53703260
chr2	82461451	82461810
chr1	17662551	17663110
chr12	39497301	39497760
chr6	149753051	149753560
chr12	110462551	110462960
chr16	74464001	74464410
chr2	121842451	121842910
chr2	91769051	91769160
chr4	71996951	71997160
chr17	61575251	61575560
chr15	67532501	67533010
chr5	96498901	96499410
chr12	71127101	71127610
chr10	108115201	108115610
chr20	57197051	57197210
chr8	122761401	122761760
chr5	66504951	66505460
chr4	185021401	185021860
chr17	55518051	55518610
chr11	78426701	78427210
chr7	147807301	147807510
chr17	79276701	79276910
chr7	124496301	124496760
chr3	171552001	171552360
chr6	1555201	1555710
chr7	3194501	3194910
chr3	160889451	160889760
chr1	249106401	249106610
chr5	172244051	172244210
chr3	127293751	127294210
chr7	151007601	151007960
chr4	169930801	169931560
chr21	39031251	39031610
chr14	37667251	37667610
chr5	137968801	137969310
chr1	24525701	24526210
chr5	169998401	169998510
chr12	7959401	7959910
chr1	222012751	222013560
chr7	101585201	101585510
chr7	27219201	27219760
chr22	40744001	40744510
chr6	150186001	150186510
chr3	46484051	46484460
chr1	29658751	29659110
chr3	167097951	167098410
chr17	41837551	41838210
chr8	67089001	67089860
chr19	1512901	1513510
chr12	62653801	62654360
chr14	81453601	81454210
chr6	34205801	34206210
chr16	85403401	85404060
chr13	97933401	97933510
chr1	248567301	248567710
chr20	3800651	3801360
chr8	144301501	144301810
chr2	236502651	236503110
chr10	15944551	15944960
chr8	53027251	53027610
chr3	134473951	134474410
chr3	150213351	150213760
chr2	223846701	223847060
chr5	75604901	75605210
chr12	49491651	49492210
chr4	174222651	174223210
chr9	128320651	128321110
chr17	47485151	47485760
chr11	18874801	18875310
chr5	159448751	159449360
chr2	71175501	71176160
chr1	104003801	104004210
chr3	11815701	11816160
chr4	113558301	113558860
chr5	31825551	31826060
chr22	23197851	23198260
chr5	60653601	60653910
chr11	72144901	72145710
chr15	41198451	41199210
chr6	43765251	43765510
chr4	54670901	54671360
chr17	57638401	57638710
chr20	35028101	35028460
chr5	148761251	148762010
chr16	84178501	84178710
chr5	68703301	68703510
chr22	22555451	22555860
chr11	18127401	18127960
chr9	100716801	100717260
chr15	70877501	70877910
chr9	13034151	13034660
chr1	192774801	192775360
chr12	95043601	95044110
chr2	53994751	53995060
chr12	50260801	50261360
chr15	84228051	84228560
chr1	245317851	245319010
chr2	183628001	183628510
chr17	46101951	46102210
chrX	94573901	94574260
chr10	62900501	62901010
chr1	159915301	159915910
chr11	68378251	68378460
chr2	38692851	38693310
chr3	119963051	119963510
chr1	242149001	242149710
chr3	126398001	126398510
chr16	78128101	78128410
chr2	187767901	187768260
chr7	151773301	151773660
chr11	12910251	12910760
chr11	33879301	33879860
chr9	133326751	133327260
chr21	19297251	19297860
chr12	71945301	71945710
chr10	29681301	29681760
chr7	100322851	100323310
chr6	3402851	3403160
chr2	181711951	181712110
chr8	37888351	37888760
chr13	37573251	37573860
chr1	212781701	212781810
chr19	13049601	13049810
chr14	75985101	75985410
chr1	180600751	180601360
chr8	141111001	141111110
chr1	12184801	12185310
chr18	19284251	19285060
chr12	114350451	114350910
chr5	112714601	112715110
chr8	13402301	13402660
chr20	24997951	24998160
chr8	38242401	38242960
chr1	221437051	221437560
chr1	170043701	170044310
chr5	35651201	35651660
chr20	56048701	56048960
chr2	85239001	85239210
chr18	12283201	12283510
chr15	29960201	29960760
chr19	10930901	10931260
chr3	32989101	32989610
chr3	139437301	139437660
chr10	125852301	125852710
chr7	73043551	73043960
chr2	101958551	101959060
chr2	228272301	228272610
chr18	9147851	9148360
chr14	83766751	83767260
chrX	49019951	49020410
chr17	12935001	12935560
chr3	82459551	82459810
chr3	131268201	131268560
chr6	170884401	170884660
chr13	28633351	28633760
chr12	11733201	11733510
chr1	232520851	232521260
chr17	10675751	10676160
chr1	147099151	147099860
chr11	20408551	20409160
chr5	169853501	169853660
chr17	34296501	34296960
chr2	11051751	11052110
chr12	95467251	95467710
chr10	6128351	6128760
chr1	231494951	231495210
chr2	46768801	46769310
chr9	38708001	38708310
chr11	6625551	6625810
chr15	73373651	73374060
chr12	47055101	47055610
chr3	129543751	129544160
chr7	38262051	38262510
chr1	211391601	211391710
chr18	45548951	45549460
chr3	96858051	96858310
chr11	842651	843310
chr5	145770051	145770410
chr9	91003301	91004010
chr1	185207551	185207960
chr22	18553801	18554160
chr2	43249401	43249710
chr11	89138801	89139110
chr13	64030101	64030360
chr15	41222601	41223210
chr10	114760701	114760910
chr11	64764251	64764660
chr14	78283701	78284010
chr3	183757851	183758060
chr20	61283651	61283910
chr6	145955101	145955610
chr22	20000951	20001260
chr7	115876051	115876510
chr5	44808651	44809060
chr12	118815601	118816160
chr8	49837951	49838660
chr3	143670201	143670660
chr14	58338151	58338610
chr5	1737851	1738360
chr10	100802451	100802860
chr2	163077451	163077910
chr9	96447551	96447760
chr11	1661251	1661810
chr4	146644551	146644760
chr14	93153151	93153660
chr3	187037501	187037860
chr10	12698501	12698960
chr2	63002151	63002610
chr9	4048501	4048860
chr5	34474551	34475060
chr2	20981301	20981860
chr13	96182501	96182810
chr2	121453101	121453660
chr12	12509901	12510310
chr14	23768951	23769210
chr12	13136351	13136810
chr20	61854551	61855360
chr11	118661051	118661560
chr12	7244951	7245510
chr20	12905701	12906260
chr19	9697351	9697760
chr3	180894401	180894760
chr14	87120901	87121310
chr11	47475701	47476160
chr7	105070151	105070610
chr2	171092401	171092860
chr4	175747851	175748160
chr2	43273851	43274060
chr16	13967651	13968110
chr2	46394601	46394810
chrX	37368701	37368860
chr1	207065751	207066060
chr1	20810401	20810810
chr13	101327051	101327410
chr13	24316001	24316460
chr17	76441551	76442060
chr1	244462551	244463160
chr14	35609951	35610210
chr16	25287951	25288310
chr7	5452251	5452560
chr16	10615501	10615910
chr20	29591601	29591810
chr13	67568351	67568710
chr6	37992251	37992410
chr17	66902801	66903160
chr16	1773501	1773960
chr7	103871801	103872260
chr3	31950151	31950460
chr9	88714051	88714410
chr5	142301501	142302160
chr3	51426051	51426360
chr13	75932001	75932460
chr5	67755951	67756410
chr11	105448401	105448660
chr2	72806651	72807110
chr1	145001751	145002960
chr1	23963851	23964360
chr9	127630651	127630960
chr17	47592851	47593160
chr3	157164851	157165210
chr3	188990601	188990910
chr12	96526651	96526960
chr2	85764901	85765110
chr6	106892751	106893210
chr7	6036851	6037160
chr11	2165451	2165660
chr11	51571951	51572360
chr20	2668651	2668960
chr5	122372651	122372760
chr10	103824751	103825160
chr17	48255651	48256160
chr2	165998151	165998460
chr14	91643651	91644160
chr16	66987951	66988360
chrX	123152001	123152210
chr1	201083101	201084010
chr1	145399201	145399310
chr17	9632251	9632810
chr19	5794151	5794510
chr6	116966701	116967110
chr1	29045851	29046060
chr1	76308251	76308460
chr7	18397351	18397710
chr10	102063451	102063910
chr20	22715651	22716060
chr1	228270001	228270660
chr19	3429401	3430010
chr4	18690901	18691360
chr6	35309901	35310460
chr15	39000001	39000410
chr1	229920601	229920910
chr16	762801	763210
chr9	91615851	91616360
chr8	133780701	133781160
chr11	72142001	72142460
chr9	893651	894210
chr21	39877551	39878010
chr2	161233651	161234010
chr20	29638351	29638510
chr17	13133851	13134110
chr20	40040001	40040410
chr11	8835051	8835560
chr11	106908251	106908710
chr5	139485601	139486010
chr19	43628651	43628810
chr16	2255751	2255910
chr1	226308951	226310460
chr14	60650951	60651460
chrX	135244951	135245410
chr5	76132151	76132310
chr1	233076201	233076460
chr1	206807151	206809310
chr20	9883601	9884060
chr10	61469301	61469910
chr3	145866201	145866410
chr10	46983251	46984210
chr7	127144801	127145160
chr15	91790751	91791210
chr10	52650701	52651060
chr11	85405401	85405810
chr9	140473201	140473860
chr3	168338701	168338960
chrX	77380001	77380110
chr7	82356201	82356560
chr2	154726951	154727160
chr11	11643551	11644010
chr10	15503451	15503560
chr20	21510401	21510860
chr3	161277201	161277610
chr8	55545301	55545810
chr11	102405251	102405560
chr6	104973551	104974060
chr17	10532151	10532360
chr1	23866251	23866710
